District,Start Location,Destination,Vehicle,Description,Fare
3,Mataas na Kahoy,Lipa City,Bus,Mataas na Kahoy to Lipa City,15.00
3,Lipa City,Batangas City,Jeepney,Lipa City to Batangas City,42.00
3,Batangas City,BSU,Jeepney,Batangas City to BSU,13.00
3,BSU,Batangas City,Jeepney,BSU to Batangas City,13.00
3,Batangas City,Lipa City,Jeepney,Batangas City to Lipa City,42.00
3,Lipa City,Mataas na Kahoy,Bus,Lipa City to Mataas na Kahoy,15.00
3,San Nicolas,Lemery,Jeepney,San Nicolas to Lemery,53.00
3,Lemery,Batangas City,Bus,Lemery to Batangas City,60.00
3,Batangas City,BSU,Jeepney,Batangas City to BSU,13.00
3,BSU,Batangas City,Jeepney,BSU to Batangas City,13.00
3,Batangas City,Lemery,Bus,Batangas City to Lemery,60.00
3,Lemery,San Nicolas,Jeepney,Lemery to San Nicolas,53.00
3,Santa Teresita,Lipa City,Jeepney,Santa Teresita to Lipa City,27.00
3,Lipa City,Batangas City,Jeepney,Lipa City to Batangas City,42.00
3,Batangas City,BSU,Jeepney,Batangas City to BSU,13.00
3,BSU,Batangas City,Jeepney,BSU to Batangas City,13.00
3,Batangas City,Lipa City,Jeepney,Batangas City to Lipa City,42.00
3,Lipa City,Santa Teresita,Jeepney,Lipa City to Santa Teresita,27.00
4,Ibaan,Batangas,Jeepney,Ibaan to Batangas,45.00
4,Batangas,BSU,Jeepney,Batangas to BSU,11.00
4,BSU,Batangas,Jeepney,BSU to Batangas,11.00
4,Batangas,Ibaan,Jeepney,Batangas to Ibaan,45.00
4,Padre Garcia,Batangas,Jeepney,Padre Garcia to Batangas,66.00
4,Batangas,BSU,Jeepney,Batangas to BSU,11.00
4,BSU,Batangas,Jeepney,BSU to Batangas,11.00
4,Batangas,Padre Garcia,Jeepney,Batangas to Padre Garcia,66.00
4,Rosario,Batangas,Jeepney,Rosario to Batangas,80.00
4,Batangas,BSU,Jeepney,Batangas to BSU,11.00
4,BSU,Batangas,Jeepney,BSU to Batangas,11.00
4,Batangas,Rosario,Jeepney,Batangas to Rosario,80.00
4,San Jose,Batangas,Jeepney,San Jose to Batangas,58.00
4,Batangas,BSU,Jeepney,Batangas to BSU,11.00
4,BSU,Batangas,Jeepney,BSU to Batangas,11.00
4,Batangas,San Jose,Jeepney,Batangas to San Jose,58.00
4,San Juan,Batangas,Jeepney,San Juan to Batangas,133.00
4,Batangas,BSU,Jeepney,Batangas to BSU,11.00
4,BSU,Batangas,Jeepney,BSU to Batangas,11.00
4,Batangas,San Juan,Jeepney,Batangas to San Juan,133.00
4,Taysan,Batangas,Jeepney,Taysan to Batangas,93.00
4,Batangas,BSU,Jeepney,Batangas to BSU,11.00
4,BSU,Batangas,Jeepney,BSU to Batangas,11.00
4,Batangas,Taysan,Jeepney,Batangas to Taysan,93.00
5,Batangas City,BSU,Jeepney,Batangas City to BSU,13.00
5,BSU,Batangas City,Jeepney,BSU to Batangas City,13.00
6,Lipa City,Batangas City,Jeepney,Lipa City to Batangas City,42.00
6,Batangas City,BSU,Jeepney,Batangas City to BSU,13.00
6,BSU,Batangas City,Jeepney,BSU to Batangas City,13.00
6,Batangas City,Lipa City,Jeepney,Batangas City to Lipa City,42.00
